id,CandidateId,CandidateName,Party,Type,State,SumDonations,Top1PAC,Top1Value,Top2PAC,Top2Value,Top3PAC,Top3Value,Rank_total
14,N00001758,Chuck Grassley,R,sen,IA,1744366,NRA Institute for Legislative Action,105953,Hunter Defense Fund,79999,Votesane PAC,47000,15
15,N00001093,Charles E Schumer,D,sen,NY,1659300,American College of Radiology,102500,AMERICA IS WORTH IT                               ,39600,American Medical Assn,15000,16
16,N00031782,Tim Scott,R,sen,SC,1454992,VIGOP (Virgin Islands Republican Party),168662,Apria Healthcare,15000,CSX Corp,10000,17
17,N00029277,Gary Peters,D,sen,MI,1371926,National Assn of Realtors,885782,League of Conservation Voters/Michigan,236342,Planned Parenthood/Michigan,41102,18
18,N00007876,Patty Murray,D,sen,WA,1248017,National Assn of Realtors,13000,American Federation of Govt Employees,12000,American Psychiatric Assn,11500,19
19,N00013873,John Boozman,R,sen,AR,1189542,America Ascendant Pac,164805,US Bancorp,11000,Arkansas for Leadership,10000,20
20,N00006267,Mike Crapo,R,sen,ID,1184992,Deloitte LLP,10000,Rock City PAC,10000,Small Business Investor Alliance,10000,21
21,N00007724,Ron Wyden,D,sen,OR,1171790,American Assn of Orthodontists,15000,League of Conservation Voters,12800,Wyden for Oregon,10760,22
22,N00009920,Richard C Shelby,R,sen,AL,1145399,Citizen SuperPAC,309056,National Rifle Assn,137056,National Assn of Realtors,71979,23
23,N00005285,Pat Roberts,R,sen,KS,1128028,National Assn of Realtors,717659,Committee to Elect an Independent Senate,93818,National Right to Life,85065,24
24,N00004572,John Thune,R,sen,SD,1100283,Rock City PAC,20000,American Medical Assn,12000,Fertilizer Institute,10000,25
25,N00033363,Tom Cotton,R,sen,AR,1057152,Majority PAC,684460,Guardian Leadership PAC,164865,National Right to Life,50343,26
26,N00026050,Lisa Murkowski,R,sen,AK,1028325,Republican Party of Alaska,56110,American Unity PAC,16000,Branch Banking & Trust,10000,27
27,N00005282,Jerry Moran,R,sen,KS,992215,AON Corp,20000,Asplundh Tree Expert Co,10000,Branch Banking & Trust,10000,28
28,N00003328,Thad Cochran,R,sen,MS,965944,National Assn of Realtors,779744,Apria Healthcare,10000,USA Rice Federation,8000,29
29,N00035492,Thom Tillis,R,sen,NC,838724,National Right to Life,336959,Majority PAC,217871,National Right to Life Victory Fund,89144,30
30,N00031685,Richard Blumenthal,D,sen,CT,766360,TIAA-CREF,10500,American Hotel & Lodging Assn,10000,Charter Communications,10000,31
31,N00030780,Cory Gardner,R,sen,CO,765491,Majority PAC,224171,National Right to Life,154777,NextGen Climate Action,134501,32
32,N00028138,Brian Schatz,D,sen,HI,755800,Marriott International,16500,American Federation of Teachers,10000,Climate Champions PAC,10000,33
33,N00031129,James Lankford,R,sen,OK,752750,Branch Banking & Trust,10000,Dakota PAC,10000,Enterprise Rent-A-Car,10000,34
34,N00031688,John Hoeven,R,sen,ND,724430,Full House PAC,10000,Hess Corp,10000,Lank PAC,10000,35
35,N00030245,Bill Cassidy,R,sen,LA,714956,Majority PAC,304969,National Right to Life,60832,National Campaign,60316,36
36,N00031696,Mike Lee,R,sen,UT,646367,Women Speak Out PAC,38628,Senate Conservatives Fund,27762,Freedomworks for America,26389,37
37,N00009918,Patrick Leahy,D,sen,VT,599393,End Citizens United,10000,Ironworkers Union,10000,Victory Now PAC,10000,38
38,N00035774,Dan Sullivan,R,sen,AK,468725,Guardian Leadership PAC,349073,National Right to Life,22370,National Campaign,15750,39
39,N00027605,Jon Tester,D,sen,MT,447611,Votesane PAC,24500,Ironworkers Union,10000,Union Pacific Corp,10000,40
40,N00004118,Debbie Stabenow,D,sen,MI,441604,Votesane PAC,32000,Border Health,10000,Motor City PAC,10000,41
41,N00009869,Orrin G Hatch,R,sen,UT,428623,Capital Group Companies,10000,Ford Motor Co,10000,Ryan LLC,10000,42
42,N00027503,Bob Casey,D,sen,PA,415200,Fresenius Medical Care North America,10000,Victory Now PAC,10000,Blue Cross/Blue Shield of Illinois,7500,43
43,N00033782,Heidi Heitkamp,D,sen,ND,402200,Apria Healthcare,15000,Alston & Bird,10500,American Mid-Sized Banks,10000,44
44,N00033443,Deb Fischer,R,sen,NE,382400,American Cable Assn,12000,Freedom Fund,10000,Heartland Values PAC,10000,45
45,N00009926,Bill Nelson,D,sen,FL,377717,Federal Aviation Admin Managers Assn,10000,Blue Cross/Blue Shield of Florida,9734,Medtronic Inc,9000,46
46,N00026586,Joe Donnelly,D,sen,IN,370995,Victory Now PAC,10000,BAE Systems,9500,Credit Union National Assn,6000,47
47,N00027522,Dean Heller,R,sen,NV,364300,Freedom Fund,10000,National Air Traffic Controllers Assn,9500,Assisted Living Federation of America,7500,48
48,N00003535,Sherrod Brown,D,sen,OH,354109,Victory Now PAC,10000,Boeing Co,9000,Grant Thornton LLP,8500,49
49,N00029835,Martin Heinrich,D,sen,NM,308250,UnitedHealth Group,7500,Solarcity Corp,6000,Gulf States Toyota,5500,50
50,N00035516,David Perdue,R,sen,GA,285782,National Right to Life,106747,National Right to Life Victory Fund,33869,IntercontinentalExchange Inc,10000,51
51,N00035267,Cory Booker,D,sen,NJ,262932,Conservative Campaign Cmte,20333,Best Buy,6500,BNSF Railway,5000,52
52,N00012508,Tom Carper,D,sen,DE,257720,Apria Healthcare,15000,Amgen Inc,8500,Boeing Co,5000,53
53,N00032838,Joe Manchin,D,sen,WV,253000,Victory Now PAC,10000,Aircraft Owners & Pilots Assn,8000,Country Roads PAC,6000,54
54,N00024852,John Cornyn,R,sen,TX,250153,American Crystal Sugar,10000,Exxon Mobil,10000,Wine Institute,10000,55
55,N00033177,Tim Kaine,D,sen,VA,226229,PEM PAC,10000,21st Century Oncology,9000,DRS Technologies,6500,56
56,N00002097,Mark Warner,D,sen,VA,224550,Alston & Bird,7500,Cheniere Energy,7500,American Orthotic & Prosthetic Assn,6000,57
