lastName,firstName,state,party,openId,x,y,id,donationSum
Booker,Cory,NJ,Democrat,N00035267,17,4,51,262932
Carper,Thomas,DE,Democrat,N00012508,20,5,52,257720
Manchin,Joe,WV,Democrat,N00032838,14,5,53,253000
Cornyn,John,TX,Republican,N00024852,8,8,54,250153
Kaine,Timothy,VA,Democrat,N00033177,15,5,55,226229
Warner,Mark,VA,Democrat,N00002097,16,5,56,224550
Flake,Jeff,AZ,Republican,N00009573,4,6,57,217450
Klobuchar,Amy,MN,Democrat,N00027500,10,3,58,210500
Cardin,Benjamin,MD,Democrat,N00001955,18,5,59,197750
Men̩ndez,Robert,NJ,Democrat,N00000699,18,4,60,188800
Sasse,Benjamin,NE,Republican,N00035544,7,5,61,188762
Barrasso,John,WY,Republican,N00006236,6,4,62,181750
Baldwin,Tammy,WI,Democrat,N00004367,12,2,63,179750
Durbin,Richard,IL,Democrat,N00004981,12,3,64,155000
Hirono,Mazie,HI,Democrat,N00028139,2,8,65,148400
Wicker,Roger,MS,Republican,N00003280,12,7,66,141325
Shaheen,Jeanne,NH,Democrat,N00024790,22,2,67,130131
McCaskill,Claire,MO,Democrat,N00027694,10,5,68,122500
Feinstein,Dianne,CA,Democrat,N00007364,2,5,69,108910
Daines,Steve,MT,Republican,N00033054,5,3,70,106135
Gillibrand,Kirsten,NY,Democrat,N00027658,18,3,71,105700
Whitehouse,Sheldon,RI,Democrat,N00027533,22,4,72,102850
Franken,Alan,MN,Democrat,N00029016,9,3,73,102222
Capito,Shelley,WV,Republican,N00009771,13,5,74,101965
Rounds,Mike,SD,Republican,N00035187,7,4,75,101236
Reed,John,RI,Democrat,N00000362,21,4,76,98500
Markey,Edward,MA,Democrat,N00000270,20,3,77,98000
Inhofe,James,OK,Republican,N00005582,8,7,78,97500
Murphy,Christopher,CT,Democrat,N00027566,19,4,79,97500
Alexander,Lamar,TN,Republican,N00009888,11,6,80,97250
Corker,Bob,TN,Republican,N00027441,12,6,81,95500
Collins,Susan,ME,Republican,N00000491,22,1,82,94000
Graham,Lindsey,SC,Republican,N00009975,16,6,83,87201
Coons,Chris,DE,Democrat,N00031820,19,5,84,79500
Udall,Tom,NM,Democrat,N00006561,6,6,85,74500
King,Angus,ME,Independent,N00034580,21,1,86,67000
Merkley,Jeff,OR,Democrat,N00029303,2,4,87,59713
Enzi,Michael,WY,Republican,N00006249,5,4,88,42500
Risch,James,ID,Republican,N00029441,4,3,89,28332
Warren,Elizabeth,MA,Democrat,N00033492,19,3,90,26000
Cantwell,Maria,WA,Democrat,N00007836,2,3,91,12000
Van Hollen,Chris,MD,Democrat,N00013820,17,5,92,0
Kennedy,John,LA,Republican,N00026823,9,7,93,0
Duckworth,Tammy,IL,Democrat,N00027860,11,3,94,0
Young,Todd,IN,Republican,N00030670,11,4,95,0
Harris,Kamala,CA,Democrat,N00036915,1,5,96,0
Cortez Masto,Catherine,NV,Democrat,N00037161,3,4,97,0
Hassan,Margaret,NH,Democrat,N00038397,21,2,98,0
Strange,Luther,AL,Republican,x,15,7,99,0
